,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2009T4,2009T3,2009T2,2009T1,2008T4,2008T3,2008T2,2008T1,2007T4,2007T3,2007T2,2007T1,2006T4,2006T3,2006T2,2006T1,2005T4,2005T3,2005T2,2005T1,2004T4,2004T3,2004T2,2004T1,2003T4,2003T3,2003T2,2003T1,2002T4,2002T3,2002T2,2002T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Total Nacional,58,74,58,72,58,74,58,35,58,61,58,73,58,8,58,46,58,8,58,92,58,84,58,78,58,95,59,28,59,41,59,29,59,43,59,5,59,79,59,45,59,77,59,53,59,63,59,46,59,86,60,4,60,60,18,60,23,60,55,60,5,60,31,60,29,60,44,60,44,60,16,60,25,60,37,60,41,60,9,59,99,60,5,60,3,60,39,60,35,60,23,60,7,59,67,59,47,59,5,59,23,58,9,58,88,58,74,58,63,58,3,58,8,57,86,57,86,57,38,57,12,56,93,56,55,56,24,56,25,56,15,55,65,55,28,54,95,54,92,54,48,54,6,13,78,13,92,14,2,14,7,14,45,14,55,15,28,16,74,16,55,16,38,17,22,18,75,18,63,18,91,20,21,20,9,21,18,22,37,23,78,23,7,23,67,24,47,25,93,25,73,25,65,26,6,26,94,25,77,24,79,24,4,24,19,22,56,21,28,20,64,21,8,20,11,19,59,19,89,19,84,18,66,17,75,17,77,17,24,13,79,11,23,10,36,9,6,8,57,8,1,7,93,8,42,8,26,8,8,8,44,9,3,8,71,8,41,9,32,10,17,10,53,10,74,11,9,11,5,11,37,11,3,11,28,11,99,11,61,11,49,11,15,11,55,50,64,50,54,50,51,49,78,50,14,50,18,49,81,48,67,49,7,49,27,48,7,47,76,47,97,48,7,47,53,46,84,47,1,46,9,46,41,45,32,45,61,45,44,45,4,44,5,44,46,44,64,44,36,43,97,44,71,45,54,45,74,45,72,46,69,47,58,47,96,47,48,48,13,48,54,48,4,48,17,48,8,49,39,49,58,49,97,52,3,53,47,53,85,53,94,54,38,54,73,54,53,53,94,54,1,53,99,53,68,53,3,53,2,52,99,52,47,51,54,51,1,50,82,50,28,49,77,49,86,49,8,49,37,48,65,48,57,48,61,48,4,47,82,,,,
    02 Albacete,55,54,56,5,55,95,57,38,59,13,59,41,60,4,58,97,59,72,57,98,58,81,57,42,56,1,54,14,56,84,56,19,58,7,57,72,58,19,57,21,57,16,56,83,57,17,57,46,57,65,59,53,58,3,57,73,56,55,56,18,57,73,58,32,58,83,59,92,60,11,58,58,59,27,58,72,59,15,57,83,57,2,59,58,4,60,21,58,78,59,82,58,29,58,41,59,78,59,23,57,55,57,86,55,51,55,84,55,61,54,83,57,56,77,54,61,54,23,54,77,52,96,52,6,54,9,52,49,52,59,51,55,50,5,52,25,51,71,50,56,49,22,16,69,16,5,17,7,17,85,17,59,16,86,20,66,23,82,22,1,20,81,25,32,24,48,23,31,23,6,24,27,24,67,21,97,23,28,24,66,28,82,27,3,29,3,26,62,27,12,29,30,53,30,59,33,83,33,94,32,17,32,36,29,2,25,4,25,74,24,41,23,31,21,25,22,2,24,6,23,15,21,46,19,17,19,98,18,47,17,11,47,10,37,9,95,10,54,7,66,9,7,9,38,8,22,11,76,10,8,9,28,10,78,10,54,7,2,10,84,9,86,9,5,7,73,9,38,7,5,7,74,7,51,8,5,8,27,7,46,5,43,6,58,46,27,46,8,46,5,47,13,48,73,49,39,47,92,44,92,46,57,45,92,43,92,43,36,42,96,41,65,43,5,42,33,45,32,44,28,43,84,40,72,41,55,40,33,41,95,41,88,40,93,41,36,40,46,38,2,37,35,38,11,39,5,41,29,43,89,44,49,45,44,44,92,46,68,45,69,44,92,44,45,44,93,47,69,46,73,49,8,48,79,52,96,52,24,52,6,53,48,54,69,52,33,52,43,50,94,49,27,49,6,49,74,50,86,50,79,50,68,48,35,49,37,48,17,48,53,49,75,48,55,48,52,47,68,46,43,47,93,47,85,47,82,45,98,,,,,
    03 Alicante/Alacant,59,24,58,55,58,61,56,14,56,73,58,2,57,23,57,69,58,43,58,5,58,74,58,75,58,59,59,74,60,44,58,2,58,36,58,21,58,36,57,58,57,35,57,5,57,75,57,49,58,79,58,42,58,26,57,45,57,9,58,13,58,65,58,42,58,77,57,69,57,67,56,66,58,17,59,16,58,23,58,37,59,68,60,47,60,67,59,27,60,2,59,59,16,58,4,57,63,58,45,57,98,56,83,57,91,58,18,58,33,57,69,56,24,57,41,57,65,58,59,58,73,58,69,57,76,56,83,57,24,57,6,54,98,55,11,55,19,55,17,55,51,54,4,15,68,13,57,14,71,15,44,15,63,15,14,15,6,18,3,17,96,16,22,18,48,19,77,18,21,18,61,22,74,23,62,22,96,23,39,24,11,26,42,24,91,24,34,26,8,28,79,29,48,26,87,27,33,29,34,28,2,27,22,27,29,29,39,25,76,23,56,22,73,23,58,24,68,24,8,23,96,23,2,23,36,21,81,21,25,21,43,15,92,13,5,13,57,10,96,11,23,9,46,10,39,10,93,10,42,8,73,8,48,10,86,10,28,8,58,9,38,10,26,10,44,10,6,11,15,10,27,12,5,11,96,12,54,12,8,10,76,10,51,11,47,10,49,95,50,61,49,99,47,47,47,86,49,39,48,3,47,14,47,94,49,1,47,89,47,13,47,93,48,62,46,7,44,31,44,96,44,6,44,29,42,37,43,7,43,16,42,69,40,94,41,46,42,72,42,33,40,59,40,99,42,3,42,64,41,25,43,63,44,1,44,56,43,3,43,81,44,49,44,28,44,83,45,74,47,29,47,78,46,57,50,46,51,4,51,13,51,68,51,16,52,92,51,96,50,62,51,88,53,1,53,38,51,42,50,46,52,48,52,24,52,58,52,6,52,46,51,32,50,99,50,35,50,24,48,8,48,6,49,26,49,37,49,14,48,96,,,
    04 Almería,60,72,57,81,58,55,59,33,59,33,59,5,58,38,61,36,62,55,61,22,60,69,61,13,61,37,60,44,59,59,42,58,96,60,63,60,93,61,56,63,52,62,41,63,51,64,91,64,17,62,51,65,5,64,22,63,84,64,53,63,75,64,69,64,16,64,64,63,79,65,43,64,32,63,8,64,21,65,74,63,46,64,22,64,45,64,99,64,41,60,65,59,62,62,26,62,45,60,14,60,71,62,67,63,9,64,5,65,13,64,75,61,95,66,77,62,18,62,4,64,68,62,62,59,55,59,27,64,8,59,63,57,9,58,53,57,7,57,22,57,85,57,54,18,53,19,75,16,12,16,6,18,77,25,53,22,52,23,49,25,43,27,65,23,3,21,37,24,84,22,65,22,45,24,39,25,13,31,8,29,9,30,66,35,7,37,53,35,81,33,35,35,69,38,16,34,5,35,87,35,19,37,61,34,44,34,2,32,74,34,91,34,84,31,53,26,53,27,23,30,14,28,15,24,57,30,9,26,95,24,68,24,22,21,58,17,55,14,22,10,78,12,15,10,1,12,84,9,26,10,17,9,15,8,48,9,83,8,46,9,73,8,78,9,86,13,58,8,58,7,15,11,68,14,24,8,3,11,23,10,26,14,24,7,69,10,94,49,47,46,4,49,11,49,8,48,2,43,97,45,24,46,94,46,64,44,3,46,72,48,7,46,13,46,75,45,76,44,93,44,14,41,79,43,2,42,68,40,85,38,99,40,76,43,26,41,27,38,65,42,61,41,19,41,37,40,26,41,79,42,69,43,16,42,7,41,56,44,8,47,26,45,9,44,86,47,24,47,87,44,89,47,8,48,95,48,81,47,56,49,16,53,41,55,72,52,84,54,64,54,62,57,99,57,94,59,17,59,26,55,86,61,12,56,13,56,92,58,31,54,12,54,44,55,3,56,6,51,15,52,5,51,96,51,78,49,8,53,4,51,24,,
    01 Araba/Álava,56,4,57,22,58,35,59,38,58,13,57,77,57,7,57,56,57,96,56,71,57,11,56,85,58,85,58,16,57,86,58,86,59,52,57,86,59,83,61,22,61,9,59,43,61,44,61,5,61,89,61,35,61,62,61,45,62,1,61,27,60,48,60,47,62,12,61,59,61,21,62,1,61,82,60,33,61,67,61,17,61,43,60,77,60,9,62,23,62,8,62,82,61,18,59,7,60,66,58,88,59,76,59,66,58,83,61,5,61,37,61,47,60,2,58,54,59,31,60,57,62,45,62,23,62,29,62,21,61,24,60,82,60,91,59,99,60,93,59,52,59,9,58,55,7,31,10,23,8,4,7,54,7,39,7,99,10,53,10,54,9,4,10,95,13,5,12,3,11,97,12,16,13,11,10,71,12,21,13,33,15,54,18,97,16,64,16,32,16,77,19,6,18,75,17,6,16,81,17,43,19,47,14,96,15,54,16,32,11,73,10,25,9,4,11,98,11,14,9,6,10,92,13,7,14,74,12,91,9,42,9,9,7,79,4,38,4,5,3,27,4,55,5,5,5,22,6,94,6,15,6,87,7,43,8,71,6,46,8,68,5,5,7,99,9,9,8,69,9,9,9,85,9,49,10,26,8,54,9,9,9,56,10,31,8,25,7,98,52,28,51,37,53,66,54,91,53,83,53,15,51,63,51,49,52,72,50,5,49,65,50,1,51,8,51,9,50,27,52,56,52,25,50,14,50,53,49,61,50,93,49,73,51,13,49,77,50,29,50,88,51,26,50,73,49,94,52,1,51,8,50,6,54,83,55,28,55,68,54,66,54,93,54,54,54,94,52,79,52,37,52,92,55,16,56,7,57,91,60,8,58,43,57,75,57,9,55,91,56,64,55,52,55,22,57,27,56,81,56,12,56,31,53,46,56,5,55,73,56,27,56,83,56,63,56,8,55,42,54,58,55,71,54,53,55,11,53,39,54,21,53,88,
    33 Asturias,50,77,50,74,50,37,50,92,50,27,51,6,50,81,50,95,50,67,50,79,51,15,50,83,50,9,52,36,52,12,51,35,51,8,51,42,50,53,50,13,51,63,52,21,51,5,52,1,52,3,52,62,51,75,53,7,52,4,52,82,52,65,51,33,51,8,51,83,52,33,51,5,51,55,52,5,51,83,51,93,51,58,51,99,52,6,52,22,52,45,53,58,52,78,51,85,50,65,50,84,50,48,50,17,49,8,50,42,50,11,49,67,48,94,48,28,48,3,47,94,45,97,46,37,46,36,47,2,47,21,47,29,45,43,45,13,44,9,44,51,44,6,43,3,13,14,14,43,14,17,15,3,12,86,13,45,13,1,15,2,14,64,12,95,13,3,14,23,14,59,17,5,19,29,19,5,20,33,16,97,20,15,18,99,20,78,19,96,21,2,22,75,22,29,24,15,24,56,25,51,23,82,21,83,21,12,20,52,18,84,17,19,17,17,18,16,16,61,14,1,16,35,16,6,14,13,13,54,13,94,12,7,10,7,6,7,84,8,56,8,7,13,9,1,9,44,9,9,9,41,8,9,10,6,9,3,8,99,10,68,11,18,10,24,9,25,10,34,11,46,10,14,11,8,10,82,12,44,10,12,9,67,10,28,9,15,44,1,43,41,43,23,43,27,43,81,44,19,44,16,43,29,43,25,44,21,44,49,43,59,43,48,43,43,42,6,41,34,41,27,42,69,40,35,40,61,40,9,41,79,40,67,40,18,40,64,39,92,39,5,39,53,39,92,41,29,41,53,40,79,42,4,42,92,43,34,42,15,42,99,44,71,43,36,43,3,44,29,44,95,44,8,45,92,47,21,49,5,48,64,47,41,46,6,47,22,45,89,45,44,45,27,45,67,46,6,44,68,44,39,43,94,42,9,42,58,41,26,42,8,41,57,41,63,42,42,41,71,40,51,39,52,40,36,40,2,39,53,39,34,,,
    05 Ávila,54,7,53,51,52,8,50,81,52,82,53,45,53,2,53,75,53,32,55,83,56,94,56,25,55,87,56,95,55,55,55,27,52,47,54,98,54,68,52,33,53,3,53,3,53,76,54,72,55,83,55,98,53,74,54,25,54,32,56,3,55,47,53,73,53,31,54,45,53,17,51,87,52,45,52,67,50,63,51,51,51,28,53,12,52,48,52,99,52,6,53,28,52,97,52,98,52,69,53,6,51,32,49,34,49,54,50,22,50,16,47,61,48,32,49,37,47,91,47,25,47,56,47,9,47,1,44,92,45,51,44,65,44,98,45,36,46,68,45,67,44,72,44,33,13,57,12,65,14,72,17,87,13,53,15,26,18,5,18,85,18,34,14,45,18,92,20,15,17,16,19,57,21,43,26,77,21,8,21,1,23,93,25,92,25,33,23,6,26,64,28,6,25,48,23,71,25,87,27,4,22,38,24,3,26,37,25,54,21,89,21,78,24,1,27,56,22,3,21,59,23,47,25,91,21,7,20,11,16,79,18,11,15,21,11,53,9,53,8,83,5,68,7,44,6,83,7,81,7,29,5,57,5,97,8,54,8,52,9,11,8,18,8,55,8,55,8,54,10,77,10,17,8,83,7,4,11,48,8,6,10,51,8,6,7,5,9,75,47,27,46,75,44,41,41,73,45,67,45,3,43,45,43,62,43,54,47,76,46,16,44,91,46,28,45,8,43,64,40,48,41,41,43,43,41,59,38,77,39,8,40,72,39,44,39,6,41,6,42,71,39,84,39,58,42,16,42,56,40,84,40,1,41,64,42,59,40,41,37,58,40,75,41,3,38,75,38,16,40,48,42,44,43,67,43,4,44,6,47,14,47,92,48,3,49,69,49,61,47,82,45,49,45,93,47,42,47,17,43,54,44,2,44,87,43,99,43,21,43,49,43,81,42,3,40,35,41,49,41,35,39,82,41,7,41,77,41,74,41,57,40,1,
    06 Badajoz,56,16,56,29,55,87,56,99,56,4,55,52,56,14,55,92,55,85,55,5,56,29,55,74,56,35,56,1,56,38,56,57,55,86,56,55,2,55,11,55,78,55,1,54,95,54,89,55,54,56,35,56,92,57,72,57,8,57,38,55,1,55,7,55,14,54,68,56,66,56,87,56,83,56,39,56,52,55,31,55,41,55,32,55,9,55,83,55,36,55,35,54,47,53,48,53,77,54,1,53,22,53,35,52,62,51,6,51,82,52,5,51,17,53,19,51,81,51,97,52,14,51,67,51,12,49,41,49,79,50,48,50,72,49,91,49,68,50,38,49,83,49,93,24,64,20,15,20,94,24,3,24,1,23,3,26,3,28,64,27,1,26,18,27,62,31,8,31,75,27,98,28,75,30,48,30,1,29,63,30,83,30,54,31,54,28,53,30,96,34,5,33,7,33,51,34,74,36,26,35,49,32,66,34,2,32,86,30,5,25,33,25,2,27,31,26,1,22,69,23,19,23,84,22,76,19,32,20,69,22,55,19,29,14,98,15,2,13,84,15,34,13,69,13,16,13,96,14,63,11,5,14,99,17,38,16,58,17,5,16,44,19,65,20,41,16,25,18,93,16,77,16,58,14,54,15,38,18,94,18,94,19,61,18,9,20,77,42,32,44,95,44,17,43,3,42,8,42,74,41,53,39,9,40,76,40,96,40,74,38,1,38,46,40,41,40,17,39,33,39,1,39,41,38,18,38,28,38,19,39,38,37,94,36,2,37,17,37,46,37,15,36,79,37,29,38,64,36,26,37,4,38,32,40,83,42,38,41,34,42,43,6,43,41,42,13,42,8,44,64,44,33,43,24,44,68,47,5,46,19,46,8,45,52,46,69,46,22,45,9,44,92,45,19,44,5,43,42,69,44,12,43,29,41,75,41,49,43,27,41,44,41,12,41,54,43,14,42,92,40,45,40,27,40,5,40,41,39,56,,,,
    07 Balears Illes,62,37,67,2,65,83,62,42,62,88,67,93,66,7,60,78,61,59,67,35,65,68,61,78,62,5,67,7,66,72,63,95,64,34,68,69,67,24,62,82,63,23,67,87,66,77,61,68,63,6,67,81,68,21,65,28,65,45,69,58,67,96,65,2,64,36,68,22,65,9,63,41,64,6,68,47,68,22,64,1,64,76,68,2,67,9,63,4,64,1,67,14,65,86,62,85,63,54,66,19,65,66,62,17,63,12,67,32,66,22,61,11,61,13,65,69,64,88,60,81,61,92,65,41,64,3,61,2,61,76,64,86,63,9,60,5,60,51,63,77,61,26,58,74,9,91,8,18,12,13,17,6,10,91,7,16,11,22,17,42,12,61,9,25,11,49,16,76,13,8,10,6,13,2,18,41,17,2,13,88,16,45,22,29,18,88,15,94,19,4,26,7,22,72,16,93,21,14,28,55,24,3,19,56,21,32,27,85,25,49,17,79,19,53,24,98,21,78,16,93,19,79,22,22,19,45,14,78,18,2,19,63,12,5,9,32,8,4,10,98,9,35,4,64,5,55,9,33,6,34,4,72,6,53,8,41,7,5,4,91,6,6,10,7,8,9,6,77,9,6,12,75,10,1,7,2,9,39,12,68,8,69,6,7,6,74,8,96,56,19,61,54,57,84,51,77,56,2,63,6,58,66,50,19,53,82,61,12,58,13,51,42,53,88,60,52,58,3,52,18,53,39,59,16,56,17,48,82,51,29,57,5,54,6,45,21,49,15,56,33,53,79,46,64,49,55,55,97,53,47,46,91,47,95,56,8,53,3,47,57,50,53,56,88,54,71,49,78,52,17,58,12,55,50,95,56,38,60,89,60,33,55,95,57,6,63,12,62,2,56,37,59,12,64,15,61,89,55,97,56,55,62,47,60,95,54,3,56,91,60,98,58,48,53,4,55,57,60,3,57,9,52,83,55,26,59,9,57,13,53,47,
    08 Barcelona,61,7,61,71,61,59,61,72,61,89,61,2,61,3,61,33,62,4,61,91,61,68,62,56,62,33,62,21,62,52,62,42,61,94,61,78,62,57,61,94,62,52,62,14,62,42,62,87,62,87,63,2,62,5,63,43,63,48,63,61,63,28,63,84,63,87,64,51,64,26,64,38,64,8,64,45,64,63,62,63,56,63,52,63,26,64,11,64,18,63,8,64,25,64,16,64,14,63,6,63,14,63,6,63,7,62,86,62,79,63,2,62,79,61,52,62,2,61,46,61,46,61,46,61,61,61,62,61,56,61,6,60,87,60,31,59,66,59,75,58,57,58,62,10,47,11,27,10,93,10,93,11,34,10,55,10,91,11,55,12,13,12,56,13,3,14,69,14,73,14,54,15,67,17,5,17,15,17,24,18,97,19,58,19,5,19,11,19,72,21,57,21,39,22,98,23,72,24,38,24,2,22,99,21,55,21,5,20,6,19,56,17,86,18,92,17,76,17,72,17,62,17,81,16,85,15,97,16,15,15,84,11,37,8,54,7,1,7,46,6,35,7,9,6,2,6,45,6,71,6,29,6,22,6,97,6,51,6,3,7,7,7,95,9,93,10,35,10,28,10,86,10,1,10,81,11,31,11,32,11,43,10,76,9,82,11,12,55,24,54,75,54,86,54,98,54,87,54,59,54,61,54,24,54,52,54,13,53,65,53,37,53,15,53,17,52,72,51,77,51,32,51,13,50,7,49,81,50,33,50,27,50,11,49,31,49,42,48,68,47,68,47,97,48,23,48,99,49,64,50,12,51,6,51,89,52,78,52,2,52,69,53,3,52,72,52,29,52,85,53,38,53,4,53,95,56,89,58,36,59,69,59,38,60,7,59,9,59,23,58,99,58,85,58,91,58,89,58,62,58,71,57,81,57,8,56,58,55,35,55,9,55,27,54,93,55,4,54,94,53,99,53,48,52,84,53,32,52,82,52,1,,
